phrases,pred,true
autos wie den dacia sandero.,['spa'],deu
bildergalerie teilen der donkervoort d gto ist ja per se nicht gerade ein warmduscher-auto.,['nld'],deu
der stoffbeutel war leer.,['nld'],deu
hij was de leider van de groep in de provincie khorasan van de islamitische staat.,['nld'],deu
ist das land bald insolvent?,['eng'],deu
jarjarthomas . jan theorethisch ist es simpel.,['eng'],deu
kinder werden von fairplay-liga profitieren.,['nld'],deu
was ist wicop?,['eng'],deu
"wat er nu gebeurt, is heel zwaar voor hem als jonge gast.",['nld'],deu
google (goog) has one.,['nld'],eng
"in asia, japan's nikkei (.",['nld'],eng
internet trouble.,['fra'],eng
it feels strange.,['nld'],eng
the district website (piaad.,['nld'],eng
vancouver head coach willie desjardins.,['nld'],eng
les anderlechtois devront avant tout museler ruud van nistelrooy.,['nld'],fra
"salle wilfrid-pelletier, vendredi mars .",['deu'],fra
bert van marwijk ne sourit pas toujours.,['nld'],fra
"'non non, il dit.",['ita'],fra
on a su en profiter.,['spa'],fra
encore une star addict de twiiter!,['eng'],fra
"herman van rompuy bart de wever : ne traîne pas trop, zeg.",['nld'],fra
"ben faut cracher, sinon passe ton chemin wenger!",['eng'],fra
ingenico: retenu par best buy en turquie.,['spa'],fra
"enzo bricolo (page perso, ) le // à :.",['ita'],fra
"actueilement, il enseigne à la city university of new york et collabore au webzine the daily beast.",['eng'],fra
sachsenring - passo indietro per marco melandri al sachsenring.,['deu'],ita
champions o europa league?,['fra'],ita
premi alla carriera a brian yuzna e robert englund.,['spa'],ita
"anche air france, klm, thai airways, easyjet e ryanair hanno oggi cancellato i voli.",['eng'],ita
"durante la .a tappa del tour de france, saint girons-crête du lys, perde la vita fabio casartelli.",['fra'],ita
chelsea - west bromwich -. domenica: liverpool - arsenal ore ; lunedì: manchester utd - newcastle ore .,['eng'],ita
"arriva alvaro gonzalez, ennesimo talento made in uruguay.",['spa'],ita
wall street in deciso rosso.,['eng'],ita
"anne hathaway ""mostra tutto"".",['eng'],ita
"naughty bear, ecco le modalità multiplayer!",['eng'],ita
"non sono le madri dei desaparecidos a protestare nella plaza de mayo a buenos ayres, ma i veterani della guerra delle falkland.",['spa'],ita
"""dal sud"", dice.",['spa'],ita
"o sky, o mediaset premium.",['eng'],ita
roger waters: anche in europa 'the wall' dei pink floyd?,['eng'],ita
biografie paulina is de dochter van enrique rubio en actrice susana dosamantes.,['spa'],nld
biografie shaul mofaz werd in in teheran geboren als shahram mofazzez zadeh.,['deu'],nld
"breckenridge speelde in andere films, zoals loving annabelle, let them chirp awhile, the favor, beautiful loser, en amusement uit als shelby leds.",['eng'],nld
"de familie woonde in married quaters op ridout row, royal military college of canada.",['eng'],nld
de term werd bedacht door anthony downs in an economic theory of democracy uit .,['eng'],nld
de verenigingen gingen verder onder de naam verband deutscher verkehrsunternehmen (vdv).,['deu'],nld
"de volgende frazioni maken deel uit van de gemeente: anzio colonia, marechiaro, cincinnato, falasche, villa claudia, lavinio stazione, lavinio mare, padiglione, lido dei pini.",['ita'],nld
"de volgende frazioni maken deel uit van de gemeente: bagnolo, vignola, rontagnano, strigara, montegelli, ponte uso, ponte rosso, montetiffi, s.maria riopetra, bivio montegelli.",['ita'],nld
"de volgende frazioni maken deel uit van de gemeente: cerreto ratti, castel ratti, molo borbera, monteggio, persi, sorli.",['ita'],nld
"dit betreft de namen a, b, c, süd, nord en mitte.",['deu'],nld
herbstmühle telt inwoners.,['deu'],nld
"het duo werd the world's greatest tag team "".",['eng'],nld
"het spel heeft vier modi: exhibition, tournament, playoffs en league.",['eng'],nld
het station ligt onder de avinguda de can serra en naast de avinguda d'isabel la católica.,['fra'],nld
hierna nam de modeltreinenfabrikant märklin lgb op juli over.,['deu'],nld
in ging midnet op in connexxion.,['eng'],nld
levensloop jean-françois lafontaine was een zoon van jean-françois-michel lafontaine en van anne-matrie haquenne.,['fra'],nld
lüttchendorf telt inwoners.,['deu'],nld
"mcgilligan () over haar leven met eastwood schreef locke de memoir the good, the bad, and the very ugly.",['eng'],nld
"ook als (mede-)auteur van boeken is hij bekend, zoals contemporary composers on contemporary music anthology, music since , electronic music: a listener's guide, the symphonies of ralph vaughan williams en music: ways of listening.",['eng'],nld
"rond en trad hij op in wish you were here (), peter greenaway 's prospero's books, swing en in de film the krays.",['eng'],nld
"rudi paret: der koran, e editie, kohlhammer, stuttgart , pag. : wee hen die anderen tekort doen.",['deu'],nld
"vikram ""vik"" sahay is een canadees acteur.",['eng'],nld
zumholz telt inwoners.,['deu'],nld
zwemster kirsty coventry won drie medailles.,['eng'],nld
"ahora, me da la risa al recordarlo.",['ita'],spa
torre de control responde negativamente.,['ita'],spa
del beagle no he escrito nada.,['ita'],spa
se me puso la carne de gallina.,['ita'],spa
all nippon airways recibe el primer boeing dreamliner tokio (efe).,['eng'],spa
"amy winehouse, su vida en imágenes fotos - shaun curry (afp) - -- muere amy winehouse.",['eng'],spa
"philip smith says: december th, at : pm hola, soy productor habitual de cerveza artesanal.",['eng'],spa
explique brevemente por qué.,['fra'],spa
pero no solo eso.,['ita'],spa
