phrases,pred,true
"1017	Alle tragen einen Arbeitskittel, Haarhaube und Mundschutz, in der Mittagspause sitzen sie im Gärtchen hinter der Firma, teilen sich mitgebrachtes Essen, erzählen, was es Neues gibt in ihren Familien und den aktuellen Klatsch aus dem Dorf.",spa,deu
1293	Am 8. Dezember erfolgt demnach möglicherweise eine umfangreiche Enthüllung oder gar die Veröffentlichung des Virtual-Reality-Headsets.,nld,deu
"2859	Ausserdem muss man sich auf das Spielkonzept einstellen: Wer keine Lust verspürt, sich stundenlang mit Feldarbeit, grossen Maschinen, etwas Wirtschaft und virtuellen Tieren zu beschäftigen, kommt hier wirklich nicht auf seine Kosten.",nld,deu
5591	Das IS-Regime wird umgehend alles nötige veranlassen. 3. Wohnt er in einem Moderate-Rebellen-Gebiet macht er es wie unter 2. geschildert.,nld,deu
"6274	Dass wir uns nicht perfekt und bis ins Kleinste an alles erinnern können, was wir erleben, ergibt aus evolutionärer Sicht durchaus Sinn.",eng,deu
6306	Das teilte Regierungssprecher Steffen Seibert am Samstag mit.,eng,deu
"6458	Das waren also die Schwierigkeiten vor dem Internetzeitalter, bestimmt hätte sich dies heute schneller geklärt, oder?",nld,deu
9213	Die Besucher erwarten über 10.000 Exponate - vom Kolibriei über Dino-Eier bis hin zum Schwanenei.,eng,deu
9237	Die Bilanz für das erste Halbjahr 2015 weist bei der Telekom Austria (TA) Licht und Schatten auf: Das Gruppen-Ergebnis fiel besser aus als erwartet.,nld,deu
"2547	As they continue to grow and expand globally Status Global Insurance will strive to bring new, unique and specialised insurance product options to the market as they aim to meet a variety of client needs and budgets.",nld,eng
3607	Bruce Chambers is a syndicated advertising columnist for CBC Radio.,nld,eng
"3760	But Christopher Enns, who runs a Halifax medical marijuana shop, isn't sure the anticipated new laws will change much for him.",fra,eng
"3966	But, in what would turn out to be her pivotal moment as a soccer player, the New Jersey native reached out to coach James Galanis, who went on to become her personal coach and mentor.",nld,eng
"7368	For now, all they want is to be part of the conversation.",nld,eng
"9133	He was flown by air ambulance to a hospital in Winnipeg, where he remains in serious but stable condition.",nld,eng
9987	I didn't really want to do it in the public eye this time.,deu,eng
"298	Corey Pavin et Lanny Wadkins viennent dajouter leur nom à la liste déjà impressionnante des golfeurs ayant confirmé leur participation au premier Championnat de Montréal, du 2 au 4 juillet prochain, au club Fontainebleau de Blainville.",eng,fra
"1962	AprÃ¨s son triomphe turc largement dÃ» Ã  l'accrochage entre les deux Red Bull, Hamilton a signÃ© Ã  MontrÃ©al une prestation de choix.",nld,fra
2870	6-5 pour la Serbe (Jankovic donc pour ceux qui suivent pas) qui est à deux points du permier set.,deu,fra
3735	Se dirige-t-on vers cette issue?,nld,fra
"4132	Seulement, ces histoires n´ont jamais été publiées, ou, plus exactement, elles ne l´ont été que très partiellement.",ita,fra
"4452	Atos Origin: en nette hausse, un broker toujours positif.",spa,fra
5525	Il est paradoxal de défendre une maternité boudée par les femmes de leur propre commune ou de vouloir maintenir un bloc opératoire et de venir se faire opérer à Paris!,eng,fra
"7525	Les journalistes de plusieurs organes de presse écrite et audiovisuelle, exténués par plus de 600 km de routes depuis la capitale algérienne, ont déjà fait le plein de carburant à la dernière station Naftal de la ville d´El Kala.",nld,fra
8114	M. Batres peut à nouveau siffler penalty pour une faute du portier uruguayen sur Villa dans la foulée.,eng,fra
"8128	En mai, c'est un retraité qui a trouvé la mort après avoir été attaqué par un taureau.",spa,fra
"8134	Il faut utiliser des programmes tiers, gratuits ou payants, comme Gtalk, Plaringo ou Fring qui permettent de chatter depuis un mobile.",ita,fra
"9639	Cinquante ans après son indépendance et quatre coups dÉtat plus tard, le pays est apaisé, même sil attend encore de vivre sa première alternance réellement démocratique.",eng,fra
"10000	Il proposa la création d´une bibliothèque numérique internationale sous l´égide de l´Unesco, à laquelle, à la surprise générale, Philippe Colombet, de Google, se déclara prêt à se rallier.",deu,fra
"103	Al raggiungimento del numero richiesto, potranno recarsi presso gli stand adibiti al concorso e consegnare la cartolina.",deu,ita
348	Parla di finanziamenti europei per le aziende agricole il presidente della Toscana nel corso del consueto briefing settimanale con i giornalisti.,fra,ita
"1621	Sulla base di questa dichiarazione l'avvocato Luca Lauri, difensore del consigliere regionale, aveva chiesto al gup un incidente probatorio per sentire Bin.",spa,ita
2072	''Il ministero dell'Interno condanna con forza questi atti disumani si legge in una nota del dicastero in cui si fornisce il bilancio delle esplosioni di due ordigni avvenute nelle province meridionali di Helmand e Zabul tra ieri e domenica.,eng,ita
2153	Siamo in pieno fermento elettorale.,fra,ita
"4611	Promessa “a breve�? in forma definitiva (così si legge sulla homepage di Opera), c’è però una seconda beta, o più precisamente un development snapshot, il cui link per il download è in fondo all’annuncio ufficiale per Windows.",eng,ita
5151	E' stato tra i padri costituenti e poi senatore.,spa,ita
"5153	&ldquo;Abbiamo dimostrato, carte alla mano - ha detto Ripepe - esattamente il contrario di quello che è stato scritto e dichiarato da altri, anche ad alti livelli.",eng,ita
5206	La popolazione di questa specie è numerosa e abbastanza stabile in Europa.,eng,ita
"6741	Si possono solo accantonare utili solo in via cautelativa per future maggiori spese o per avviare un programma di miglioramento dei servizi erogati, poiché in quanto azienda pubblica, non si possono ridistribuire utili.",eng,ita
6848	Riceviamo ancora comunicazioni da cittadini che non si sentono sicuri e questo presidio è la risposta alle sollecitazioni pervenute ai nostri uffici.,eng,ita
7349	Poco più di cento euro per la tumulazione nei loculi di dimensioni 75 per 70 rispetto ai 56 precedenti e 156 per le tumulazioni nei loculi di 225 per 70 rispetto agli 86 euro precedenti.Altri particolari sul Giornale di Sicilia in edicola.,spa,ita
"7350	Non sono le madri dei desaparecidos a protestare nella Plaza de Mayo a Buenos Ayres, ma i veterani della guerra delle Falkland.",fra,ita
"8074	La ricaduta culturale sul territorio di Terra di Lavoro è palesemente evidente visti gli aspetti culturali ocali e non, nel volume trattati.",spa,ita
"8309	Ci vogliono molti soldi"".",eng,ita
"8325	Camera Station fornisce anche uno strumento chiamato Signature Tool: questo consente di verificare la firma digitale che viene apposta su ogni filmato registrato, consentendo così di appurare se sia stato o meno manomesso.",eng,ita
"10000	Con l'annuncio dei conti di metà anno e alla luce delle positive indicazioni per tutto il 2010 annunciate a fine luglio dall'amministratore delegato Marco Milani, molti investitori sono tornati a riscoprire il titolo.",deu,ita
"618	Alles kan ingewisseld worden voor goud en andersom, en dat geldt ook voor het vuur.",spa,nld
620	Alles Moet Nieuw - Piet Zwart.,deu,nld
"682	Als de hele wereldbevolking in de databank zou zitten en er was maar één ‘match’, dan zou met zekerheid deze persoon de dader zijn.",eng,nld
1453	Beiden hadden op weg naar de finale één set verloren.,eng,nld
2335	Cabrol werd aangesteld als directeur van het Carl Sagan -centrum van het SETI-instituut; in dit instituut wordt onderzoek gedaan naar mogelijk leven in het universum.,eng,nld
2416	Caruso is een sterke klimmer.,deu,nld
2458	Cephaloleia parenthesis is een keversoort uit de familie bladhaantjes (Chrysomelidae).,ita,nld
2459	Cerapachys niger is een mierensoort uit de onderfamilie van de Cerapachyinae.,ita,nld
2460	Ceratina parignara is een vliesvleugelig insect uit de familie bijen en hommels (Apidae).,ita,nld
"2924	Daarnaast hebben ze ook nog te stellen met hun dochters Sadie (13), die begint te puberen, en Charlotte (8).",deu,nld
4043	De ceremonie ging door in de kapel van Onze-Lieve-Vrouw van de Carmel in Parijs.,deu,nld
4203	De daad in 69 gedichten.,eng,nld
4573	De familie Ter Aa bezat uitgestrekte goederen langs de Aa.,eng,nld
"4588	De fertiele en steriele bladen zijn gelijkvormig, meestal groot en enkel- tot meervoudig gedeeld.",fra,nld
"4820	De gloed op het zwarte verenkleed, beschreven in 2012, werd verklaard als een verfraaiing ten bate van de seksuele selectie.",deu,nld
5599	De meeste schijven zijn inmiddels verdwenen.,eng,nld
